Jednoznačná varianta vozu,Značka,Model,Verze,Generace,Karoserie,Počet míst,Objem motoru,Typ motoru,Palivo,Hybrid typ,Spotřeba (l/100 km),Objem kufru (l),Hlučnost (dB),Cd,Cd zdroj,Přidáno,Upraveno
BMW 330 Sedan 2.0 PHEV,BMW,330,,G20 (2019-2024),Sedan,5,2,,Benzín,PHEV,"1,6",375,,0.25,reálné,2026-07-09,2026-07-11
BMW 520 Kombi 2.0,BMW,520,,G31 LCI (2020-2024),Kombi,5,2,,Benzín,,"5,6",560,,0.27,reálné,2026-07-09,2026-07-11
BMW 520 Kombi 2.0 d,BMW,520,,G31 (2017-2024),Kombi,5,2,,Nafta,,,,,,,2026-07-09,2026-07-11
BMW 530 Kombi 2.0 PHEV,BMW,530,,G31 LCI (2020-2023),Kombi,5,2,,Benzín,PHEV,"1,9",430,,0.29,reálné,2026-07-09,2026-07-11
BMW 530 Sedan 2.0 HEV,BMW,530,,G30 LCI (2020-2023),Sedan,5,2,,Benzín,HEV,"6,3",530,,0.24,reálné,2026-07-09,2026-07-11
BYD DOLPHIN Hatchback 1.5 HEV,BYD,DOLPHIN,,G (2026),Hatchback,5,1.5,,Benzín,HEV,"1,4",425,,0.301,odhad,2026-07-09,2026-07-11
BYD DOLPHIN Hatchback 1.5 PHEV,BYD,DOLPHIN,,Dolphin G / DM-i (2026+),Hatchback,5,1.5,,Benzín,PHEV,"1,4",425,,0.30,odhad,2026-07-09,2026-07-11
BYD SEAL 6 Kombi 1.5 HEV,BYD,SEAL 6,,2025+,Kombi,5,1.5,,Benzín,HEV,"1,7",500,,0.248,reálné,2026-07-09,2026-07-11
Citroën Jumper VAN 2.2 d,Citroën,Jumper,,II Facelift (2019-present),VAN,3,2.2,,Nafta,,"8,0",,71,0.35,odhad,2026-07-09,2026-07-11
Citroën SpaceTourer VAN 2.0 d,Citroën,SpaceTourer,,"1st gen (2016-2024, facelift 2023)",VAN,8,2,,Nafta,,"7,1",655,71,0.35,odhad,2026-07-09,2026-07-11
Cupra Terramar SUV 1.5,Cupra,Terramar,,"1. generace (2024–present, ""Techn. Information MY25"")",SUV,5,1.5,,Benzín,,"6,4",508,,0.33,odhad,2026-07-09,2026-07-11
DFSK Forthing 4 SUV 1.5,DFSK,Forthing 4,,U-Tour (2023-present),SUV,7,1.5,,Benzín,,"7,6",390,,0.33,odhad,2026-07-09,2026-07-11
DFSK Forthing 4 VAN 1.5,DFSK,Forthing 4,,I (2023+),VAN,7,1.5,,Benzín,,"7,6",390,,0.35,odhad,2026-07-09,2026-07-11
DFSK Forthing 5 SUV 1.5,DFSK,Forthing 5,,"1. generace (2023–present, EU: ""Forthing 5"" / PL: ""Forthing T-Five"")",SUV,5,1.5,,Benzín,,"7,2",,,0.33,odhad,2026-07-09,2026-07-11
DFSK Rich 6 SUV 2.3 d,DFSK,Rich 6,,"Rich 6 (2017-present, sold in EU as a double-cab pickup)",SUV,5,2.3,,Nafta,,"8,9",,,0.33,odhad,2026-07-09,2026-07-11
DS Automobiles DS4 Sedan 1.6 PHEV,DS,Automobiles DS4,,II (2021-2025),Sedan,5,1.6,,Benzín,PHEV,"1,3",390,,0.27,odhad,2026-07-09,2026-07-11
DS Automobiles DS7 (Crossback) SUV 1.6 HEV,DS,Automobiles DS7 (Crossback),,I (2017-2021),SUV,5,1.6,,Benzín,HEV,"1,6",555,68,0.26,reálné,2026-07-09,2026-07-11
DS Automobiles DS7 (Crossback) SUV 1.6 PHEV,DS,Automobiles DS7 (Crossback),,I (2017-2022),SUV,5,1.6,,Benzín,PHEV,"1,5",555,68,0.26,reálné,2026-07-09,2026-07-11
Fiat 500X Hatchback 1.4,Fiat,500X,,1st gen facelift (2019-2023),Hatchback,5,1.4,,Benzín,,"6,3",350,,0.33,odhad,2026-07-09,2026-07-11
Fiat 500X SUV 1.3,Fiat,500X,,500X facelift (2018-2023),SUV,5,1.3,,Benzín,,"6,5",350,,0.33,odhad,2026-07-09,2026-07-11
Fiat 500X Sedan 1.3,Fiat,500X,,Series 2 / facelift (2018-2023),Sedan,5,1.3,,Benzín,,"6,3",350,,0.35,odhad,2026-07-09,2026-07-11
Ford EcoSport SUV 1.0,Ford,EcoSport,,"EcoSport II facelift (2017-2022, EU)",SUV,5,1,,Benzín,,"5,2",310,,0.33,odhad,2026-07-09,2026-07-11
Ford Galaxy VAN 2.0 d,Ford,Galaxy,,Galaxy III facelift (2019-2023),VAN,7,2,,Nafta,,"6,2",300,73,0.35,odhad,2026-07-09,2026-07-11
Ford Galaxy VAN 2.5 HEV,Ford,Galaxy,,Mk3 facelift (2019-2023),VAN,7,2.5,,Benzín,HEV,"6,5",300,,0.35,odhad,2026-07-09,2026-07-11
GWM HAVAL H6 SUV 1.5 HEV,GWM,HAVAL H6,,H6 III (2021-2026),SUV,5,1.5,,Benzín,HEV,"5,9",560,,0.33,odhad,2026-07-09,2026-07-11
GWM HAVAL Jolion Pro SUV 1.5,GWM,HAVAL Jolion Pro,,Jolion Pro (2024+),SUV,5,1.5,,Benzín,,"7,5",291,,0.33,odhad,2026-07-09,2026-07-11
GWM HAVAL Jolion Pro Sedan 1.5,GWM,HAVAL Jolion Pro,,"I, Pro facelift (2021-2026+)",Sedan,5,1.5,,Benzín,,"7,4",381,,0.33,odhad,2026-07-09,2026-07-11
Hyundai IONIQ Sedan 1.6 HEV,Hyundai,IONIQ,,"AD (2016-2022, facelift 2019)",Sedan,5,1.6,,Benzín,HEV,"4,5",443,70,0.24,reálné,2026-07-09,2026-07-11
Jeep Avenger SUV 1.2 HEV,Jeep,Avenger,,1. generace (2023–present),SUV,5,1.2,,Benzín,HEV,"5,1",380,,0.33,reálné,2026-07-09,2026-07-11
Jeep Avenger SUV 1.2 MHEV,Jeep,Avenger,,1st generation (2022-present),SUV,5,1.2,,Benzín,MHEV,"4,9",380,,0.33,odhad,2026-07-09,2026-07-11
Lexus UX SUV 2.0 HEV,Lexus,UX,,"1st generation (2018-2024, facelift 2022)",SUV,5,2,,Benzín,HEV,"4,3",320,,0.33,reálné,2026-07-09,2026-07-11
Lynk&Co 01 SUV 1.5 HEV,Lynk&Co,01,,"01 facelift (2021-2022 HEV ""1.5TD 197hp""; superseded by EM-F facelift 2022+, 245hp, same HEV concept)",SUV,5,1.5,,Benzín,HEV,"6,6",466,,0.33,odhad,2026-07-09,2026-07-11
Mazda CX-3 SUV 2.0,Mazda,CX-3,,"DJ (facelift 2018, 2018-2021)",SUV,5,2,,Benzín,,"6,1",350,,0.33,odhad,2026-07-09,2026-07-11
Mazda MX-30 SUV 0.8 HEV,Mazda,MX-30,,DR (2020-present) — R-EV variant introduced 2023,SUV,5,0.8,,Benzín,HEV,"1,0",350,,0.34,reálné,2026-07-09,2026-07-11
Mazda MX-30 SUV 0.8 PHEV,Mazda,MX-30,,"1st gen ""DR"" (2020–present); R-EV rotary-PHEV variant from Feb 2023",SUV,5,0.8,,Benzín,PHEV,"1,0",350,,0.33,odhad,2026-07-09,2026-07-11
Mercedes-Benz E Kombi 1.6 d,Mercedes-Benz,E,,"S213 (2016-2023, facelift 2020+)",Kombi,5,1.6,,Nafta,,"5,6",640,,0.28,reálné,2026-07-09,2026-07-11
Mercedes-Benz E Kombi 1.9 d HEV,Mercedes-Benz,E,,W213 (2016-2024),Kombi,5,1.9,,Nafta,HEV,"4,4",640,,0.25,odhad,2026-07-09,2026-07-11
Mercedes-Benz E Kombi 2.0 d,Mercedes-Benz,E,,W213 Facelift (2021-2023),Kombi,5,2,,Nafta,,"5,6",640,,0.28,reálné,2026-07-09,2026-07-11
Mercedes-Benz E Sedan 1.9 d HEV,Mercedes-Benz,E,,W213 facelift (2020-2023),Sedan,5,1.9,,Nafta,HEV,"5,2",540,,0.23,reálné,2026-07-09,2026-07-11
Mercedes-Benz GLC SUV 1.9 d HEV,Mercedes-Benz,GLC,,X254 (2022-present),SUV,5,1.9,,Nafta,HEV,"5,2",620,68,0.29,reálné,2026-07-09,2026-07-11
Mercedes-Benz Vito Kombi 1.9 d,Mercedes-Benz,Vito,,W447 facelift (2019/2021+),Kombi,8,1.9,,Nafta,,"5,8",580,,0.35,odhad,2026-07-09,2026-07-11
Mercedes-Benz Vito VAN 1.9 d,Mercedes-Benz,Vito,,W447 facelift (2020-2024),VAN,3,1.9,,Nafta,,"7,1",,,0.35,odhad,2026-07-09,2026-07-11
Mitsubishi Colt Hatchback 1.6 HEV,Mitsubishi,Colt,,Colt VII (2023-present),Hatchback,5,1.6,,Benzín,HEV,"4,1",301,,0.30,odhad,2026-07-09,2026-07-11
Mitsubishi Colt Sedan 1.6 HEV,Mitsubishi,Colt,,VII (2023-present),Sedan,5,1.6,,Benzín,HEV,"4,1",254,,0.30,odhad,2026-07-09,2026-07-11
Nissan NV300 VAN 2.0 d,Nissan,NV300,,"X82-based facelift, 2.0 dCi engine (MY2019-2022)",VAN,3,2,,Nafta,,"7,6",,,0.35,odhad,2026-07-09,2026-07-11
Nissan Navara SUV 2.3 d,Nissan,Navara,,"D23/NP300 facelift (2021-2024, EU sales through 2021)",SUV,5,2.3,,Nafta,,"9,0",,,0.42,odhad,2026-07-09,2026-07-11
Nissan Primastar Kombi 2.0 d,Nissan,Primastar,,Primastar II / Trafic III-based (2021–present),Kombi,9,2,,Nafta,,"7,0",,70,0.35,odhad,2026-07-09,2026-07-11
Nissan Primastar VAN 2.0 d,Nissan,Primastar,,III (2021-present),VAN,3,2,,Nafta,,"6,9",,,0.35,odhad,2026-07-09,2026-07-11
Opel Corsa Hatchback 1.2 HEV,Opel,Corsa,,F (facelift 2023+),Hatchback,5,1.2,,Benzín,HEV,"4,6",309,,0.29,reálné,2026-07-09,2026-07-11
Opel Corsa Hatchback 1.2 MHEV,Opel,Corsa,,F facelift (2023–2025),Hatchback,5,1.2,,Benzín,MHEV,"4,6",309,65,0.29,reálné,2026-07-09,2026-07-11
Opel Movano 2.3 d,Opel,Movano,,Movano B facelift (2019-2021),VAN,3,2.3,,Nafta,,"6,3",,71,0.35,odhad,2026-07-09,2026-07-11
Peugeot 208 Hatchback 1.2 HEV,Peugeot,208,,II (2019-2025),Hatchback,5,1.2,,Benzín,HEV,"4,6",352,67,0.29,reálné,2026-07-09,2026-07-11
Peugeot 208 Hatchback 1.2 MHEV,Peugeot,208,,"II, Phase II facelift (2023+)",Hatchback,5,1.2,,Benzín,MHEV,"5,1",352,,0.29,reálné,2026-07-09,2026-07-11
Peugeot 208 Sedan 1.2 HEV,Peugeot,208,,"II (P21, 2019+)",Sedan,5,1.2,,Benzín,HEV,"4,6",387,65,0.29,odhad,2026-07-09,2026-07-11
Renault Espace VAN 2.0 d,Renault,Espace,,V Phase II (2020-2023),VAN,5,2,,Nafta,,"5,1",680,,0.35,odhad,2026-07-09,2026-07-11
Renault Master VAN 2.3 d,Renault,Master,,X62 facelift (2019-2024),VAN,3,2.3,,Nafta,,"8,8",,,0.35,odhad,2026-07-09,2026-07-11
Renault Megane Kombi 1.3,Renault,Megane,,"IV (Phase II, 2020-2023)",Kombi,5,1.3,,Benzín,,"6,5",521,,0.30,odhad,2026-07-09,2026-07-11
Renault Megane Kombi 1.6 PHEV,Renault,Megane,,IV Phase II (2020-2023),Kombi,5,1.6,,Benzín,PHEV,"1,3",447,,0.30,odhad,2026-07-09,2026-07-11
Renault Megane Sedan 1.3,Renault,Megane,,"IV Sedan, Phase II (2021-2023)",Sedan,5,1.3,,Benzín,,"5,9",503,,0.27,odhad,2026-07-09,2026-07-11
Seat Ibiza Hatchback 1.5,Seat,Ibiza,,V (facelift 2021),Hatchback,5,1.5,,Benzín,,"4,9",355,67,0.30,odhad,2026-07-09,2026-07-11
Seat Ibiza Sedan 1.5,Seat,Ibiza,,"FB (2017-present, facelift 2021+)",Sedan,5,1.5,,Benzín,,"4,9",355,70,0.30,odhad,2026-07-09,2026-07-11
Toyota RAV 4 SUV 2.5 HEV,Toyota,RAV 4,,XA50 (2018-2025),SUV,5,2.5,,Benzín,HEV,"5,7",580,69,0.32,reálné,2026-07-09,2026-07-11
VW Crafter VAN 2.0 d,VW,Crafter,,"II / SY (2017-2024, facelift 2024)",VAN,9,2,,Nafta,,"8,2",,,0.33,reálné,2026-07-09,2026-07-11
Volvo S60 Sedan 2.0,Volvo,S60,,"S60 III (2018–present, SPA platform)",Sedan,5,2,,Benzín,,"6,1",442,,0.27,reálné,2026-07-09,2026-07-11
Hyundai Santa Fe 2.2 CRDi,Hyundai,Santa Fe,,Gen 4,SUV,7,2.2,CRDi,Nafta,,"6,9",634,67.1,0.34,reálné,2026-07-12,2026-07-12
VW Touran 2.0 TDI,VW,Touran,,"Gen 2 (Typ 5T, 2015–present, facelift 2019)",MPV,7,2.0,TDI,Nafta,,"5,2",834,,0.296,reálné,2026-07-12,2026-07-12
Seat Ateca 2.0 TDI,Seat,Ateca,,Gen 1 (facelift 2020),SUV,5,2.0,TDI,Nafta,,"5,4",510,,0.35,odhad,2026-07-12,2026-07-12
Cupra Leon 2.0 TDI,Cupra,Leon,,Gen 1,,5,2.0,TDI,Nafta,,"4,7",380,,0.28,odhad,2026-07-12,2026-07-12
Ford S-MAX 2.0 EcoBlue,Ford,S-MAX,,Gen 2,MPV,7,2.0,EcoBlue,Nafta,,"5,6",700,,0.32,odhad,2026-07-12,2026-07-12
Peugeot 5008 2.0 BlueHDi,Peugeot,5008,,Gen 2,SUV,7,2.0,BlueHDi,Nafta,,"5,9",780,,0.33,odhad,2026-07-12,2026-07-12
Audi A3 2.0 TDI,Audi,A3,,Gen 4,,5,2.0,TDI,Nafta,,"4,7",380,,0.28,reálné,2026-07-12,2026-07-12
Škoda Kodiaq 2.0 TDI,Škoda,Kodiaq,,Gen 1,SUV,5,2.0,TDI,Nafta,,"5,3",835,,0.31,reálné,2026-07-12,2026-07-12
Ford Kuga 2.0,Ford,Kuga,,Gen 3,SUV,5,2.0,,Nafta,,"6,1",435,,0.35,odhad,2026-07-12,2026-07-12
Škoda Octavia 2.0 TDI,Škoda,Octavia,,Gen 4,Kombi,5,2.0,TDI,Nafta,,"4,3",640,,0.275,reálné,2026-07-12,2026-07-12
Cupra Formentor 2.0 TDI,Cupra,Formentor,,Gen 1,SUV,5,2.0,TDI,Nafta,,"5,1",450,,0.33,odhad,2026-07-12,2026-07-12
Ford Focus 2.0 EcoBlue,Ford,Focus,,Gen 4,Kombi,5,2.0,EcoBlue,Nafta,,"4,5",608,,0.30,odhad,2026-07-13,2026-07-13
Seat Tarraco 2.0 TDI,Seat,Tarraco,,Gen 1,SUV,7,2.0,TDI,Nafta,,"5,7",760,66,0.32,reálné,2026-07-13,2026-07-13
Seat Leon 2.0 TDI,Seat,Leon,,Gen 4,Kombi,5,2.0,TDI,Nafta,,"5,2",620,,0.29,reálné,2026-07-13,2026-07-13
Audi Q3 2.0 TDI,Audi,Q3,,Gen 2,SUV,5,2.0,TDI,Nafta,,"5,8",530,,0.32,reálné,2026-07-13,2026-07-13
Mazda CX-30 2.5,Mazda,CX-30,,Gen 1,Sedan,5,2.5,,Benzín,,"6,0",430,,0.32,odhad,2026-07-13,2026-07-13
Mercedes-Benz B 2.0,Mercedes-Benz,B,,Gen 3,Sedan,5,2.0,,Benzín,,"6,4",455,,0.24,reálné,2026-07-13,2026-07-13
Mercedes-Benz C 1.5,Mercedes-Benz,C,,Gen 5 (W206/S206),Kombi,5,1.5,,Benzín,,"6,9",490,,0.27,reálné,2026-07-13,2026-07-13
Mercedes-Benz CLA 1.9,Mercedes-Benz,CLA,,Gen 2,Kombi,5,1.9,,Nafta,,"4,5",495,,0.26,reálné,2026-07-13,2026-07-13
Renault Koleos 1.3 TCe,Renault,Koleos,,Gen 2,SUV,5,1.3,TCe,Benzín,,"6,8",498,,0.36,odhad,2026-07-13,2026-07-13
Renault Symbioz 1.3 TCe MHEV,Renault,Symbioz,,Gen 1,SUV,5,1.3,TCe,Benzín,MHEV,"5,9",563,,0.32,odhad,2026-07-13,2026-07-13
VW T-Roc 2.0 TDI,VW,T-Roc,,Gen 1,SUV,5,2.0,TDI,Nafta,,"5,0",445,,0.33,odhad,2026-07-13,2026-07-13
Kia K4 1.6 T-GDI,Kia,K4,,Gen 1,Kombi,5,1.6,T-GDI,Benzín,,"6,3",604,,0.28,odhad,2026-07-13,2026-07-13
BMW 3 3.0,BMW,3,,Gen 7,Kombi,5,3.0,,Nafta,,"5,5",500,,0.28,reálné,2026-07-13,2026-07-13
Genesis G70 2.0 T-GDI,Genesis,G70,,Gen 1,Kombi,5,2.0,T-GDI,Benzín,,"8,5",465,,0.28,reálné,2026-07-13,2026-07-13
Hyundai i30 1.6 CRDi,Hyundai,i30,,Gen 3,Sedan,5,1.6,CRDi,Benzín,,"5,2",395,,0.30,odhad,2026-07-13,2026-07-13
Mercedes-Benz C 1.6,Mercedes-Benz,C,,Gen 4,Kombi,5,1.6,,Nafta,,"4,3",490,,0.28,reálné,2026-07-13,2026-07-13
Mini Cooper 3D 2.0,Mini,Cooper 3D,,Gen 3 (F56 LCI),Sedan,4,2.0,,,,"5,8",211,,0.31,reálné,2026-07-13,2026-07-13
Mitsubishi ASX 1.3 Turbo,Mitsubishi,ASX,,Gen 2,SUV,5,1.3,Turbo,Benzín,,"5,9",,,0.33,odhad,2026-07-13,2026-07-13
Renault Clio 1.3 TCe,Renault,Clio,,Gen 5,Sedan,5,1.3,TCe,Benzín,,"5,7",391,,0.33,odhad,2026-07-13,2026-07-13
Renault Espace 1.8 TCe,Renault,Espace,,Gen 5,SUV,5,1.8,TCe,Benzín,,"7,6",680,,0.32,odhad,2026-07-13,2026-07-13
Dacia Duster 1.3 TCe,Dacia,Duster,,Gen 2,SUV,5,1.3,TCe,Benzín,,"6,2",445,,0.36,odhad,2026-07-13,2026-07-13
Ford Puma 1.5 EcoBoost,Ford,Puma,,Gen 1,SUV,5,1.5,EcoBoost,Benzín,,"6,6",456,,0.33,odhad,2026-07-13,2026-07-13
BMW X2 1.5 PHEV,BMW,X2,,Gen 1,SUV,5,1.5,,Benzín,PHEV,,410,,0.29,reálné,2026-07-13,2026-07-13
Hyundai Kona 1.6 GDI HEV,Hyundai,Kona,,Gen 1,SUV,5,1.6,GDI,Benzín,HEV,"5,4",374,,0.32,reálné,2026-07-13,2026-07-13
Dacia Jogger 1.8 HEV,Dacia,Jogger,,Gen 1 (facelift 2025),MPV,5,1.8,,Benzín,HEV,"4,5",607,,0.35,odhad,2026-07-13,2026-07-13
Hyundai Kona 1.6 TGDI,Hyundai,Kona,,Gen 1 facelift,SUV,5,1.6,TGDI,Benzín,,"6,7",374,,0.35,odhad,2026-07-13,2026-07-13
DS Automobiles DS7 (Crossback) 1.2,DS,Automobiles DS7 (Crossback),,Gen 1,SUV,5,1.2,,Benzín,,"5,4",555,,0.33,odhad,2026-07-13,2026-07-13
Hyundai Kona 1.6 Turbo,Hyundai,Kona,,"Gen 1 (facelift, 2021-2023)",SUV,5,1.6,Turbo,Benzín,,"6,7",374,68,0.32,odhad,2026-07-13,2026-07-13
Jeep Renegade 1.3,Jeep,Renegade,,Gen 1,SUV,5,1.3,,Benzín,,"6,2",351,,0.35,reálné,2026-07-13,2026-07-13
Hyundai Kona 1.6,Hyundai,Kona,,Gen 1,SUV,5,1.6,,Benzín,,"6,7",361,68,0.32,reálné,2026-07-13,2026-07-13
Mitsubishi Eclipse Cross 1.5 Turbo,Mitsubishi,Eclipse Cross,,Gen 1 (facelift 2021),SUV,5,1.5,Turbo,Benzín,,"7,3",404,,0.35,odhad,2026-07-13,2026-07-13
Ford Puma 1.0 EcoBoost,Ford,Puma,,Gen 1,SUV,5,1.0,EcoBoost,Benzín,,"5,4",456,,0.33,odhad,2026-07-13,2026-07-13
Renault Captur 1.3 TCe,Renault,Captur,,Gen 2,SUV,5,1.3,TCe,Benzín,,"5,8",404,,0.34,odhad,2026-07-13,2026-07-13
Ford Focus 1.5 EcoBoost,Ford,Focus,,Gen 4,Hatchback,5,1.5,EcoBoost,Benzín,,"5,9",375,,0.273,reálné,2026-07-13,2026-07-13
VW Arteon 1.4 TSI PHEV,VW,Arteon,,Gen 1,Shooting Brake,5,1.4,TSI,Benzín,PHEV,,455,,0.26,reálné,2026-07-13,2026-07-13
Audi A1 1.5 TSI,Audi,A1,,Gen 2,Hatchback,5,1.5,TSI,Benzín,,"4,9",335,,0.31,reálné,2026-07-13,2026-07-13
Mitsubishi ASX 1.8 HEV,Mitsubishi,ASX,,Gen 2,SUV,5,1.8,,Benzín,HEV,"4,5",326,,0.33,odhad,2026-07-13,2026-07-13
Kia Ceed 1.6 CRDi,Kia,Ceed,,Gen 3,Hatchback,5,1.6,CRDi,Benzín,,"4,5",395,,0.30,odhad,2026-07-14,2026-07-14
Kia XCeed 1.6 CRDi,Kia,XCeed,,Gen 1,SUV,5,1.6,CRDi,Nafta,,"5,0",380,,0.32,odhad,2026-07-14,2026-07-14
Citroën C5 1.6 PureTech,Citroën,C5,,Gen 1,,5,1.6,PureTech,Benzín,,"6,5",545,,0.29,reálné,2026-07-14,2026-07-14
Mazda CX-5 2.5,Mazda,CX-5,,Gen 2,SUV,5,2.5,,Benzín,,"7,6",522,,0.33,odhad,2026-07-14,2026-07-14
Audi A4 2.0 TDI,Audi,A4,,Gen 5,Sedan,5,2.0,TDI,Nafta,,"5,0",460,,0.25,reálné,2026-07-14,2026-07-14
Kia Ceed 1.6 T-GDI,Kia,Ceed,,Gen 3,Hatchback,5,1.6,T-GDI,Benzín,,"6,8",395,,0.31,odhad,2026-07-14,2026-07-14
Cupra Formentor 2.5,Cupra,Formentor,,Gen 1,SUV,5,2.5,,Benzín,,"10,1",410,,0.33,reálné,2026-07-14,2026-07-14
DFSK Fengon 2.0 GDI,DFSK,Fengon,,Gen 1,SUV,7,2.0,GDI,Benzín,,"10,3",450,,0.35,odhad,2026-07-14,2026-07-14
Audi Q5 2.0 TFSI,Audi,Q5,,"Gen 2 (FY, facelift 2020)",SUV,5,2.0,TFSI,Benzín,,"7,6",520,,0.31,reálné,2026-07-14,2026-07-14
VW Taigo 1.5 TSI,VW,Taigo,,Gen 1,SUV,5,1.5,TSI,Benzín,,"6,1",440,,0.32,odhad,2026-07-14,2026-07-14
Renault Megane 1.8,Renault,Megane,,Gen 4,Hatchback,5,1.8,,Benzín,,"6,9",,,0.33,odhad,2026-07-14,2026-07-14
Citroën Jumpy 2.0 BlueHDi,Citroën,Jumpy,,Gen 3,MPV,3,2.0,BlueHDi,Nafta,,"5,5",,,0.35,odhad,2026-07-14,2026-07-14
BMW 2er Gran Coupé 2.0,BMW,2er Gran Coupé,,Gen 1 (F44),Sedan,5,2.0,,,,"4,5",430,,0.27,odhad,2026-07-14,2026-07-14
Mercedes-Benz A 2.0,Mercedes-Benz,A,,Gen 4 (W177),Hatchback,5,2.0,,Benzín,,"6,4",370,,0.25,reálné,2026-07-14,2026-07-14
VW Arteon TDI,VW,Arteon,,Gen 1 (facelift 2020),Hatchback,5,,TDI,,,"5,0",563,,0.265,reálné,2026-07-14,2026-07-14
Mitsubishi L200,Mitsubishi,L200,,Gen 5,,5,,,Nafta,,"7,9",,,0.42,odhad,2026-07-14,2026-07-14
Opel Grandland 1.6 PHEV,Opel,Grandland,,Gen 1,SUV,5,1.6,,Benzín,PHEV,,390,,0.32,odhad,2026-07-14,2026-07-14
Fiat Grande Panda 1.2 MHEV,Fiat,Grande Panda,,Gen 1,SUV,5,1.2,,Benzín,MHEV,"5,4",412,,,,2026-07-14,2026-07-14
Alfa Romeo Tonale 1.3 PHEV,Alfa Romeo,Tonale,,Gen 1,SUV,5,1.3,,Benzín,PHEV,,385,,0.32,odhad,2026-07-14,2026-07-14
Fiat Scudo 2.0,Fiat,Scudo,,Gen 3,MPV,5,2.0,,Nafta,,"7,0",,,0.35,odhad,2026-07-14,2026-07-14
Hyundai i30 2.0 T-GDI,Hyundai,i30,,Gen 3,Hatchback,5,2.0,T-GDI,Benzín,,"8,0",450,,0.30,odhad,2026-07-14,2026-07-14
VW Tiguan 1.4 PHEV,VW,Tiguan,,Gen 2 (facelift 2020),SUV,5,1.4,,Benzín,PHEV,,476,,0.33,reálné,2026-07-14,2026-07-14
DFSK Fengon 2.0 TGDI,DFSK,Fengon,,Gen 1,SUV,7,2.0,TGDI,Benzín,,"10,3",450,,0.35,odhad,2026-07-14,2026-07-14
Cupra Formentor 2.0 TSI,Cupra,Formentor,,Gen 1,SUV,5,2.0,TSI,Benzín,,"7,7",420,,0.33,odhad,2026-07-14,2026-07-14
DS 4 1.6,DS,4,,Gen 2,SUV,5,1.6,,Benzín,,"6,5",430,,0.29,odhad,2026-07-14,2026-07-14
BMW 5 3.0,BMW,5,,Gen 7 (G31),Kombi,5,3.0,,Nafta,,"5,4",560,,0.27,reálné,2026-07-14,2026-07-14
Mazda MX-30 0.8,Mazda,MX-30,,Gen 1,SUV,5,0.8,,Benzín,,,350,,0.34,odhad,2026-07-14,2026-07-14
Škoda Kamiq 1.5 TSI,Škoda,Kamiq,,Gen 1,SUV,5,1.5,TSI,Benzín,,"5,7",400,,0.32,reálné,2026-07-14,2026-07-14
Kia Sportage 2.0 CRDi,Kia,Sportage,,Gen 4,SUV,5,2.0,CRDi,Nafta,,,439,,0.34,odhad,2026-07-14,2026-07-14
Seat Arona 1.5,Seat,Arona,,Gen 1 (facelift 2021),SUV,5,1.5,,Benzín,,"6,2",400,,0.33,odhad,2026-07-14,2026-07-14
Škoda Octavia 2.0 TSI,Škoda,Octavia,,Gen 4,Kombi,5,2.0,TSI,Benzín,,"7,0",640,,0.276,reálné,2026-07-14,2026-07-14
Mercedes-Benz GLA 1.9,Mercedes-Benz,GLA,,Gen 2 (H247),SUV,5,1.9,,Nafta,,"4,7",435,,0.28,odhad,2026-07-14,2026-07-14
Hyundai Kona 2.0 T-GDI,Hyundai,Kona,,Gen 1,SUV,5,2.0,T-GDI,Benzín,,"8,5",361,,0.34,odhad,2026-07-14,2026-07-14
VW Polo 2.0 TSI,VW,Polo,,Gen 6,Hatchback,5,2.0,TSI,Benzín,,"6,5",351,,0.32,odhad,2026-07-14,2026-07-14
BMW X2 2.0,BMW,X2,,Gen 1 (F39),SUV,5,2.0,,Nafta,,"5,1",470,67,0.28,reálné,2026-07-14,2026-07-14
Cupra Formentor 1.5 eTSI,Cupra,Formentor,,Gen 1,SUV,5,1.5,eTSI,Benzín,,"5,9",450,,0.32,odhad,2026-07-14,2026-07-14
Seat Ateca 2.0 TSI,Seat,Ateca,,Gen 1 (facelift 2020),SUV,5,2.0,TSI,Benzín,,"8,2",485,,0.35,odhad,2026-07-14,2026-07-14
VW T-Cross 1.5 TSI,VW,T-Cross,,Gen 1,SUV,5,1.5,TSI,Benzín,,"5,9",385,,0.33,odhad,2026-07-14,2026-07-14
Dodge Charger 5.7,Dodge,Charger,,"Gen 7 (LD, facelift 2019)",Sedan,5,5.7,,Benzín,,"13,1",467,,0.335,reálné,2026-07-14,2026-07-14
Renault Symbioz 1.6,Renault,Symbioz,,Gen 1,SUV,5,1.6,,Benzín,,"4,7",492,,,,2026-07-14,2026-07-14
Opel Frontera 1.2,Opel,Frontera,,Gen 3,SUV,5,1.2,,Benzín,,"5,5",460,,0.35,odhad,2026-07-14,2026-07-14
Peugeot 408 1.6 PHEV,Peugeot,408,,Gen 1,SUV,5,1.6,,Benzín,PHEV,,471,,0.28,reálné,2026-07-14,2026-07-14
Škoda Superb 2.0 TSI,Škoda,Superb,,Gen 3,Kombi,5,2.0,TSI,Benzín,,"7,0",660,,0.31,reálné,2026-07-14,2026-07-14
VW Golf 2.0 TSI,VW,Golf,,Gen 8,Hatchback,5,2.0,TSI,Benzín,,"7,4",374,,0.30,odhad,2026-07-14,2026-07-14
